filename,b_bgr_mean,g_bgr_mean,r_bgr_mean,h_hsv_mean,s_hsv_mean,v_hsv_mean,l_lab_mean,a_lab_mean,b_lab_mean,b_bgr_std,g_bgr_std,r_bgr_std,h_hsv_std,s_hsv_std,v_hsv_std,l_lab_std,a_lab_std,b_lab_std,image,page,color,index
546.jpg,194.3922018348624,194.39984008080128,194.35655668714756,3.128629744970962,0.08061190135510479,194.40907751872737,197.08873411329012,127.98133574614931,127.99566534803468,78.30595393266877,78.31644460867167,78.29253508031334,18.410238685111917,0.48250635793286284,78.31198842191486,75.88820646621505,0.15919776199020333,0.06569522629282959,"https://lh3.googleusercontent.com/ci/AC_FhM--JvxF-JzX0OlxRFYCVsb-PlWUe3_t3mngzhoEGowHYcdfkHeXOH_rhnAprgBQnTJR1gBq=w218-c-h218-fcrop64=1,00000b7fffffdd7f-rw-v1",https://artsandculture.google.com/asset/cassetta-frame/AAEpIcdvBwUF_A,WHITE,546
2492.jpg,157.95425469236596,153.3894874168841,131.98678562410572,75.02487164380102,63.46220856830233,167.52823836377408,157.2208357882333,122.60969194512246,123.2915369076677,48.114201671054616,44.70442082039539,50.846729097249494,31.195139742853595,39.301191389231626,49.49586286454697,44.347897752005714,2.9923420759407935,15.625423321354367,"https://lh3.googleusercontent.com/ci/AC_FhM867dXSZt5ebLf0EDEbgo6MKNdTl4_pV8TgEQDhx7jZg2wXAgt95BkkWtk98rhCrreRCa_1l_Q=w218-c-h218-fcrop64=1,19c90000e635ffff-rw-v1",https://artsandculture.google.com/asset/pont-neuf-paris/WAFRh_vU9ZvTPg,BLUE,2492
3420.jpg,172.68426479252588,164.80666610554667,162.85704065314368,87.9310243245518,34.459388940324885,179.5756880733945,172.6299133069607,129.19154532446763,123.8570616951435,34.206329867020486,27.014872460674667,27.093633035465313,43.992940774777615,23.236507652147637,27.99205204134733,26.235273148496148,3.4376912007681875,9.763534930762967,"https://lh3.googleusercontent.com/ci/AC_FhM9deSmYqNDkjnjRXzRrM57-by_Kaux87c-zrprVGjpINnTlthRSRb_dDO6Yg4ciJMvE1EXAVQ=w218-c-h218-fcrop64=1,1ce70000e317ffff-rw-v1",https://artsandculture.google.com/asset/sketch-for-turandot-by-g-puccini-act-ii%C2%B0-part-ii%C2%B0-galileo-chini-1873-1956/egH72DBj3xUW2A,BLUE,3420
11755.jpg,97.36785624105715,125.73838481609292,134.27514518979885,23.118066661055465,93.65263866677888,134.3654153690767,130.81144263950847,126.70707432034341,145.17151334062788,78.78115695634833,74.56461008909088,76.9997229284925,4.269349935952759,48.60177267370014,76.92092758811616,74.66285856311075,2.4641917553092187,7.2811142059188585,https://lh3.googleusercontent.com/ci/AC_FhM9woGkwpb-8WNQD1b7E4D6W6BQKMyyh325-ACAAlUPFv7IAQnwzQpTqLfriUftMCJ9msbAl0EI=w218-c-h218-rw-v1,https://artsandculture.google.com/asset/a-river-landscape-with-storks-charles-fran%C3%A7ois-daubigny/hgHxCZ-yOOv0iw,BROWN,11755
1169.jpg,130.72834778217322,117.43967258648262,133.51007911791936,115.06036949751704,73.83846056729232,146.66219173470247,130.15030300479756,136.98851106809192,123.94888898240889,53.31293444605972,40.22595992714298,57.883644409534114,55.820691317453225,29.505414024089056,54.08701276302601,45.505880832462864,13.446946855917506,10.29982603567545,"https://lh3.googleusercontent.com/ci/AC_FhM_8zdZfrAR9MurauLRNdjO7cMDX5Vc2eYNpjJo6T12oOfVSfsu07bp_E3tufAVx29RqUJa9WQ=w218-c-h218-fcrop64=1,220e0000ddf0ffff-rw-v1",https://artsandculture.google.com/asset/free-and-leisure-10-yue-minjun/agHe2bazFRwvIA,PINK,1169
7585.jpg,80.9673638582611,102.92081895463345,132.47270852621833,38.93519064051848,109.36751956905984,133.4263109165895,114.65192323878462,137.70705327834358,144.4822615941419,58.41278538802836,63.095601602179286,70.55385390521684,56.30748096680261,64.21750762826548,70.49216357459795,66.08889870843272,7.940706954997132,18.584888310984763,https://lh3.googleusercontent.com/ci/AC_FhM-58dP39--WbLAjuq1U96SpLMqhh1c1C7DanGJnRQV8nx3ZQmttUgkjH48Ob3U9iDZMNL9Sg2G1=w218-c-h218-rw-v1,https://artsandculture.google.com/asset/grapes-and-persian-bowl/7QGQ6P1744idRA,ORANGE,7585
15881.jpg,92.21020957831833,106.26925342984597,109.48104115815167,28.788422691692617,53.10741940914065,110.58934433128525,111.60525208315798,126.48752209409982,136.4298249305614,53.15515456814056,54.276492174334074,57.97094930810676,10.998126710515935,29.88593140959603,57.117412235582165,58.00352271000305,2.2682342927274326,3.1518166904371614,https://lh3.googleusercontent.com/ci/AC_FhM8PS3opRdoEIhOmdUAk4wblBv1yN3_sC1LPqY7m7G6IiiRCRBs_XVX3i2vxNYUM1crzwaha2Q=w218-c-h218-rw-v1,https://artsandculture.google.com/asset/the-fort-of-bidjegur-william-hodges-1744%E2%80%931797-british/RAF9E6XKDkFBfw,BLACK,15881
14338.jpg,21.973634374210924,35.52369329181045,53.07377325140981,12.955980136352158,150.20078276239374,53.074972645400216,39.200782762393736,134.23013635215892,139.02695480178437,19.09510877441698,26.811380112837416,34.345737570043596,9.36073653098985,33.07343780007136,34.344706620261775,31.841554081780025,4.713784320398303,8.070806600058368,"https://lh3.googleusercontent.com/ci/AC_FhM9K1rOEXaRR9WM9LGqHKcX2Dw9p1AvrWYVRCXXKH0OkMhrJ4UJDhuTvHzz8S_YWckSOOL9W5w=w218-c-h218-fcrop64=1,00000fa0ffffd11c-rw-v1",https://artsandculture.google.com/asset/the-caudle-makers-steen-jan/eAH5KnM-9KupYA,BLACK,14338
2012.jpg,52.932160592542715,166.03206800774345,183.95090901439272,37.26586566787307,168.41284403669724,191.69665853042673,173.17965659456274,124.24896894200825,178.83934433128525,44.83305435183782,43.72896132913426,69.2979181939223,21.90932382342966,81.87131033069538,59.94298855348138,45.13551453587422,9.132720170801612,33.54651242366303,https://lh3.googleusercontent.com/ci/AC_FhM8NFdlgWiSEpSm9YMmBNgXE4Ucf4kP2MD7YQfpYTWe3YSmv54xvYnmq7_goGhd52LtvZC_sPeI=w218-c-h218-rw-v1,https://artsandculture.google.com/asset/ba%C3%B1istas/RwHaKXAiW3YigA,YELLOW,2012
5738.jpg,54.302163117582694,81.65688915074489,84.79035855567713,30.896957326824342,124.44419661644643,90.0929004292568,85.3686137530511,124.38904553488763,143.9795261341638,53.58330589230405,59.64339310660806,67.74903036719533,31.248836490425376,58.70897020549816,66.16747644481417,64.05283415411473,8.504020468819721,9.726790381103967,"https://lh3.googleusercontent.com/ci/AC_FhM_oKxQMWANyo5gxkacjS5UpdObPRiNTIks6bLKXPIW6x1NoJ9Z0CR9rK5WDJaJ6yRbyNXMTQU0W=w218-c-h218-fcrop64=1,00000d22ffffd897-rw-v1",https://artsandculture.google.com/asset/mary-of-guise-corneille-de-lyon/fwG2lIrXjB0p6g,GREEN,5738
