folder,file_count
"ambrosius-bosschaert","1"
"ambrosius-bosschaert-dutch-1573-1621","1"
"ambrosius-van-swol","1"
"amedeo-bocchi","1"
"amedeo-modigliani","1"
"amedeo-modigliani-italian-1884-1920","1"
"ammi-phillips","1"
"amrita-sher-gil","1"
"amy-jones","1"
"amy-novelli","1"
"amy-sillman","1"
"ana-de-orbegoso","1"
"anatoli-lvovich-kaplan","1"
"ancient-cypriot","1"
"ancient-egyptian","1"
"ancient-etruscan","1"
"ancient-greek","1"
"ancient-roman","1"
"anders-zorn","1"
"andoine-calbet","1"
"andrea-briosco","1"
"andrea-da-firenze-italian-1379","1"
"andrea-della-robbia","1"
"andrea-del-sarto","1"
"andrea-del-sarto-italian-1486-1530","1"
"andrea-del-verrocchio","1"
"andrea-di-cione-named-orcagna","1"
"andrea-di-leone","1"
"andrea-riccio","1"
"andrea-speziali","1"
"andre-dunoyer-de-segonzac","1"
"andre-kertesz","1"
"andres-lopez-polanco","1"
"andrew-wyeth","1"
"andries-beeckman","1"
"andries-beeckman-albert-eckhout","1"
"andries-both","1"
"andries-van-eertvelt","1"
"andrii-serhieiev","1"
"andy-goldsworthy","1"
"andy-warhol","1"
"angela-dufresne","1"
"angelica-kauffmann","1"
"angelica-kauffmann-swiss-1741-1807","1"
"angelos-akotantos-cretan-died-1450","1"
"aniko-nepalese-active-in-tibet-mid-to-late-1200s","1"
"anna-claypoole-peale","1"
"anna-dorothea-therbusch-german-1721-22-1782","1"
"anna-keeney","1"
"anna-l-stacey","1"
"anna-vaughn-hyatt-huntington","1"
"anne-appleby","1"
"anne-louis-girodet-de-roussy-trioson","1"
"anne-seymour-damer","1"
"anne-vallayer-coster-french-1744-1818","1"
"annibale-carracci","1"
"annibale-carracci-italian-c-1560-1609","1"
"anonymous","1"
"anonymous-adriaen-de-vries","1"
"anonymous-hieronymus-wierix","1"
"anonymous-pieter-coecke-van-aelst-i","1"
"ansel-adams","1"
"anselm-feuerbach","1"
"anselmo-guinea","1"
"anthonie-blocklandt","1"
"anthonie-palamedesz","1"
"anthonie-turck-ignatius-van-logteren","1"
"anthonie-van-borssom","1"
"anthonie-waterloo","1"
"anthonis-mor","1"
"anthonius-leemans","1"
"anthony-van-dyck","1"
"anthony-van-dyck-flemish-1599-1641","1"
"anthony-zepeda","1"
"anto-carte-belgian-1886-1954","1"
"antoine-augustin-preault","1"
"antoine-chintreuil-french-1814-1873","1"
"antoine-claude-ponthus-cinier-french-1812-1885","1"
"antoine-jean-gros-french-1771-1835","1"
"antoine-louis-barye","1"
"antoine-pierre-mongin-french-1761-1827","1"
"antoine-wiertz","1"
"anton-dieffenbach","1"
"anton-eberhardt","1"
"antonello-da-messina-antonello-di-giovanni-dantonio","1"
"antoni-caba","1"
"antonie-sminck-pitloo","1"
"antonin-mercie","1"
"antonio-abondio","1"
"antonio-alvarez","1"
"antonio-canova","1"
"antonio-da-correggio","1"
"antonio-da-vendri","1"
"antonio-del-ceraiolo-italian","1"
"antonio-deste","1"
"antonio-ferrigno","1"
"antonio-francesco-peruzzini","1"
"antonio-gonzalez-velasquez-i","1"
"antonio-guardi-italian-1699-1760","1"
"antonio-mancini","1"
"antonio-mantegazza","1"
"antonio-maragliano","1"
"antonio-maria-esquivel","1"
"antonio-molleno","1"
"antonio-rimpatta","1"
"antonio-rossellino","1"
"antonio-segui","1"
"antonio-susini","1"
"antonio-tempesta","1"
"antonio-vivarini","1"
"antonio-zanchi","1"
"anton-mauve","1"
"anton-mirou","1"
"antono-quadros","1"
"anton-raphael-mengs","1"
"anton-von-werner","1"
"apollonio-di-giovanni","1"
"archaic","1"
"archibald-john-motley-jr","1"
"archibald-willard-american-1836-1918","1"
"arent-arentsz","1"
"ariana-huggett","1"
"aristide-joseph-bonaventure-maillol","1"
"aristide-maillol","1"
"arkhip-kuindzhi","1"
"armand-guillaumin-french-1841-1927","1"
"arnold-bocklin","1"
"arnold-bocklin-swiss-1827-1901","1"
"arnold-boonen","1"
"arnold-houbraken","1"
"arnold-ronnebeck","1"
"arnold-schoenberg","1"
"arnt-van-tricht","1"
"artemisia-gentileschi","1"
"arthur-b-carles","1"
"arthur-b-davies","1"
"arthur-b-davies-american-1862-1928","1"
"arthur-bowen-davies","1"
"arthur-devis","1"
"arthur-dove","1"
"arthur-fitzwilliam-tait-american-born-england-1819-1905","1"
"arthur-hughes","1"
"arthur-l-flory","1"
"arthur-spronken","1"
"arthur-wesley-dow","1"
"artist-unknown","1"
"arturo-tejero-esteban","1"
"artus-quellinus-i","1"
"artus-quellinus-ii","1"
"artus-quellinus-i-rombout-verhulst","1"
"arvid-frederik-nyholm","1"
"ary-de-vois","1"
"ary-scheffer-dutch-1795-1858","1"
"asher-b-durand-american-1796-1886","1"
"asher-brown-durand","1"
"ashutosh-bhardwaj","1"
"athos-bulcao","1"
"attributed-to-antonello-da-messina","1"
"attributed-to-gerard-thomas","1"
"aug-thomsen","1"
"auguste-barthelemy-glaize","1"
"auguste-boulard-the-elder","1"
"auguste-lepere","1"
"auguste-renoir","1"
"auguste-rodin","1"
"august-friedrich-siegert","1"
"august-heinrich","1"
"augustin-de-saint-aubin","1"
"augustin-de-saint-aubin-french-1736-1807","1"
"augustin-hirschvogel","1"
"augustin-pajou","1"
"augustin-satra-american-1877-1909","1"
"augustin-theodule-ribot","1"
"augustus-cordus","1"
"augustus-john","1"
"augustus-leopold-egg-british-1816-c-1863","1"
"augustus-saint-gaudens","1"
"augustus-vincent-tack-american-1870-1949","1"
"aulestia-vazquez-salvador","1"
"austrian","1"
"autoria-desconocida","1"
"a-van-doeff","1"
"aviva-uri","1"
"axeli-gallen-kallela","1"
"aztec-mexica","1"
"bada-shanren-chinese-1626-1705","1"
"balchand-indian-active-1595-c-1650","1"
"baldassare-ubriachi","1"
"balthasar-moncornet","1"
"balthasar-permoser","1"
"balthasar-van-der-ast","1"
"balthasar-van-der-veen","1"
"banavari-1-indian-active-1550s-1590s","1"
"banavari-2-indian-active-1550s-1590s","1"
"barend-avercamp","1"
"barend-graat","1"
"barent-fabritius","1"
"barnett-newman","1"
"baron-antoine-jean-gros","1"
"baron-charles-de-steuben-french","1"
"baron-francois-joseph-bosio","1"
"baron-francois-pascal-simon-gerard","1"
"barry-l-mason","1"
"bartel-bruyn-the-elder","1"
"barthelemy-deyck","1"
"barthelemy-prieur","1"
"bartholomaeus-bruyn-the-younger","1"
"bartholomaeus-spranger-flemish-1546-1611","1"
"bartholomaus-bruyn-i","1"
"bartholomaus-dietterlin","1"
"bartholomeus-breenbergh","1"
"bartholomeus-eggers","1"
"bartholomeus-sarburgh","1"
