filename,b_bgr_mean,g_bgr_mean,r_bgr_mean,h_hsv_mean,s_hsv_mean,v_hsv_mean,l_lab_mean,a_lab_mean,b_lab_mean,b_bgr_std,g_bgr_std,r_bgr_std,h_hsv_std,s_hsv_std,v_hsv_std,l_lab_std,a_lab_std,b_lab_std,image,page,color,index
13426.jpg,36.027501893779984,53.62522094099823,52.044293409645654,37.247874758017005,121.67679488258564,56.09849760121202,53.98846898409225,124.15905647672754,138.17673175658615,42.16169487521618,40.49390068857099,41.43720645747622,18.446299672881157,65.91584906284969,41.681680750148274,44.0762536601056,4.059357509161162,7.5456144932318985,https://lh3.googleusercontent.com/ci/AC_FhM96UAgytRtdzfbLzHh31pf83hWs83SJ-eF9kztZRaRzct9XlVh1TW8QWhwBAx9vrFR3fUOUZQ=w218-c-h218-rw-v1,https://artsandculture.google.com/asset/waterfall-at-mont-dore-achille-etna-michallon/xQHPgPCgvFoZaA,BLACK,13426
15301.jpg,57.448194596414446,67.49962124400302,76.24968437000253,38.238763572089894,80.94064051847488,79.79052689167578,73.19821563841427,130.4000505007996,135.33082232135342,33.03442379966595,37.940100758206974,44.73739065546255,43.46947615370424,44.18678159737643,43.25060168637641,41.4280164738565,3.2470203490557203,9.847501903277085,"https://lh3.googleusercontent.com/ci/AC_FhM9C2VihrMk3ub3kCAQbKn8lp73Jh327VAUHnJFAcLCjrncVpPFYj47nDnWE6-5lxN1PB-241Q=w218-c-h218-fcrop64=1,00001414ffffd70d-rw-v1",https://artsandculture.google.com/asset/queen-victoria-baron-heinrich-von-angeli-1840-1925/AwFd7irOP0rKrw,BLACK,15301
14878.jpg,23.959515192323877,36.7769127177847,45.41894621664843,21.795997811632017,125.62799848497602,45.73541789411666,38.41968268664254,129.73804814409561,136.34555172123558,35.33476564795467,48.52163976055815,56.73809667921902,25.948225271150434,64.87782513269345,56.753751635752295,53.3767212504701,5.595961713962916,10.73007001887317,https://lh3.googleusercontent.com/ci/AC_FhM_l7Vg1R-lVd9DjbbuzWhybPFfNESs2Iz_6FUgtSMZ24x-h9L2TjGhcyKqgOgc6IfOBrIkW2KY=w218-c-h218-rw-v1,https://artsandculture.google.com/asset/allegorical-portrait-summer-giuseppe-arcimboldo/FQEqQOMa4_Klgg,BLACK,14878
9412.jpg,63.60861880313105,78.87806161097551,95.9285624105715,18.3819122969447,103.24103610807171,96.09405773924753,86.44388098644895,132.9675111522599,139.70728474034172,51.69503636294888,55.81059711127012,56.429596803897724,19.9330017294349,57.48289542079385,56.41845695515806,58.51827676734076,7.269847491108039,6.61614369704045,"https://lh3.googleusercontent.com/ci/AC_FhM_IhHcnFGvUNALHWmL-O1FHbTOJ4W4T3KUg8HXbPr1sEEOVZJ9MxTR9--srq7s-EuYlndi96zk=w218-c-h218-fcrop64=1,00000a66ffffe0cc-rw-v1",https://artsandculture.google.com/asset/the-entombment-of-christ-theotokopoulos-domenicos/-wHfJS1cVEw4iA,BROWN,9412
1006.jpg,199.45800016833599,217.91297028869624,233.73022052015824,27.52594478579244,43.71639592626883,236.89072889487417,224.55081642959348,130.85415789916675,139.8777880649777,45.45583017170831,47.840351447327734,37.98117275694751,32.03148668772505,38.72575619557673,31.379996529729294,38.04312886756628,15.630342142670624,9.470963285181373,https://lh3.googleusercontent.com/ci/AC_FhM-7GJRxo8fKaFbTdzPZWED1jo1prIpxDWmPA0GVVoUplW7sUogsQkB_uolsb1Jz1H7F3e43yfw=w218-c-h218-rw-v1,https://artsandculture.google.com/asset/untitled-constructivist-image-franz-ehrlich/KAH6dgtdIInKTA,WHITE,1006
3722.jpg,136.57713997138288,124.41122380271021,108.36608871307129,99.49427657604579,66.52533456779733,138.85615688915075,128.79742866762058,125.62339028701288,119.60312684117498,59.959920928643136,57.0700173412317,56.12393377928853,23.108411535206063,48.2754251739486,59.139619424302296,57.80925021953972,4.142573767317665,9.490158958838608,https://lh3.googleusercontent.com/ci/AC_FhM_5mt0BP6DbiGmfFpEdHDEK72YFmjwcWNPkcH4r--PPIU37TCL9elytBvTsDkV5Rf4pk_82Rw=w218-c-h218-rw-v1,https://artsandculture.google.com/asset/bird-apocalypse-john-hurford/ogG3vPRFkUXbhA,BLUE,3722
8211.jpg,63.935106472519145,78.5966879892265,144.1517128187863,24.204906994360744,124.22771652217827,144.72668546418652,105.47104620823163,152.93904132648768,149.43716858850266,26.27502989758576,35.1115524584162,63.06786300191124,42.97477220063665,62.983577025392414,62.24133392393222,40.794733435362126,19.703574275045643,14.446721281108733,"https://lh3.googleusercontent.com/ci/AC_FhM-JRj5s3tuzHdQpVMMqS6Ytu5hxRnpTkJsevkI_VvyzQX-D3zrgF-P6JXfMl7L0bDamM_a-oQ=w218-c-h218-fcrop64=1,000013f7ffffd246-rw-v1",https://artsandculture.google.com/asset/self-portrait-with-red-background-amrita-sher-gil/OgGl-QU3N8mpTQ,RED,8211
10014.jpg,113.89363269085094,128.6004755491962,139.05308896557528,46.241730494066154,84.38466879892265,148.3935485228516,138.32225822742194,131.0331621917347,138.36305866509554,59.61754444610657,45.55128172368531,31.907116354807318,40.76779035478712,55.64119266457567,36.742904643217585,42.32438618382088,7.756702693264488,14.805869856611823,https://lh3.googleusercontent.com/ci/AC_FhM9iELwbAtZ1InwkyWcurzKIWyW9ERM887Qnq8ZGrFeJOk-6_YAZrFUup0qMVGoPXvK_B338OFc=w218-c-h218-rw-v1,https://artsandculture.google.com/asset/view-of-lake-okanagan-british-columbia-grafton-tyler-brown/XgHRGFDCP3au4Q,BROWN,10014
1118.jpg,187.3312642033499,171.95684285834525,165.6060516791516,48.41431697668546,55.439840922481274,197.05868613753051,179.30115310159078,132.03097382375222,119.47117246023062,40.64621408003288,52.35772913765532,64.49526023764976,43.15057815341129,69.24209729139466,37.379940887233744,49.44711741451162,9.059276971902191,24.48827658920671,"https://lh3.googleusercontent.com/ci/AC_FhM_LGobq74SuW5qN8gnxtK39y1yrm2m8SnwBTx8TwE_QL00KU0u-joP7JAndQCXnjzk9XRjGcQ=w218-c-h218-fcrop64=1,000022b2ffffee4f-rw-v1",https://artsandculture.google.com/asset/adam-julia-hall/wQHxW2cyYauHqg,WHITE,1118
10951.jpg,23.99354010605168,37.618445417052435,47.599802205201584,17.36834020705328,125.14969278680246,47.601106809191144,39.77541873579665,130.25260920797913,138.12766181297872,11.4052352811827,17.17690932410924,21.65473930016963,4.1792369491397885,25.63085989563909,21.652732416403232,21.222286594103114,1.8680283877972572,5.457594665151999,"https://lh3.googleusercontent.com/ci/AC_FhM8mAGDen5LLYA_nEitnR5C00jKcyZkRbKfviV_ODxX0sSHcUPevUiOzC66-dtd1qz81uBfuBg=w218-c-h218-fcrop64=1,00001374ffffe278-rw-v1",https://artsandculture.google.com/asset/two-moors-rijn-rembrandt-van/FwGgzIP2-yntpw,BROWN,10951
11469.jpg,64.81304183149567,86.78507701371939,101.37155963302752,25.120865247033077,111.09910781920713,103.29397777964817,95.05980136352159,131.0552983755576,143.2874758017002,44.0361510565989,45.712999992695735,44.44872349443239,21.090829135085098,57.83995380285474,44.216487396555095,46.82736015457882,8.230675382474917,7.716262428562706,"https://lh3.googleusercontent.com/ci/AC_FhM98YWTYNM8mXP4T6MrStV-EMff85uUDSCk7ixJPx2ONJMceEzscCLOVj4siSyqdPYTVGbMLpwkd=w218-c-h218-fcrop64=1,313a0000cec4ffff-rw-v1",https://artsandculture.google.com/asset/%C3%89tablissement-de-l-h%C3%B4tel-royal-des-invalides-le-marquis-de-louvois-pr%C3%A9sente-%C3%A0-louis-xiv-le-plan-devant-servir-%C3%A0-la-construction-de-l-h%C3%B4tel-des-invalides-pierre-dulin-painter/fwEo4RlXu8PNrg,BROWN,11469
10384.jpg,74.25667031394664,104.97961030216312,143.93165558454675,17.111438431108493,132.66547428667621,144.5945627472435,120.93784193249726,140.0729736554162,151.63081811295345,46.99601016350657,46.965309364426744,51.32263801342207,20.981034508963987,57.211287542169785,50.00595580112521,47.84514683440021,11.267921624054608,11.965998549294095,"https://lh3.googleusercontent.com/ci/AC_FhM9nOIO1a0SJc3hSAzeCoxZSa2dfHP7hIl_Ow6baepyDKO5YzA5DDFc_gE_ouoBmWPbjhjOE-_XH=w218-c-h218-fcrop64=1,1ced0000d2afffff-rw-v1",https://artsandculture.google.com/asset/isabella-john-everett-millais/8wFit7aHcRWOZQ,BROWN,10384
7939.jpg,30.57577224139382,90.91850433465197,132.88898240888815,21.819985691440113,183.77093678983252,133.99459220604325,107.99141486406869,140.42719468058243,165.74995791600034,30.723363968058113,31.31915775431029,41.042652086315954,9.935094660685802,80.98597109929011,39.854673404991935,30.72913371120644,12.387374187284177,18.454055892873566,https://lh3.googleusercontent.com/ci/AC_FhM-g8LJUW_9DQK_aFLR4oAElQIA_VSxw-kL_w785r_7pfeBKtqtiNISCEO7XTYQv-8Eo5fXhRw=w218-c-h218-rw-v1,https://artsandculture.google.com/asset/an-alley-at-night-1-choi-eun-kyung/2AFDkfJWQNERcw,ORANGE,7939
5131.jpg,182.16974581264202,195.19912044440704,184.18954633448362,56.15358555677132,24.1193502230452,195.6967006144264,197.18897820048818,121.8259616193923,133.27474539180204,45.26308214312077,46.15699148604184,47.62612962810274,17.68318338786896,15.509752305556086,45.62113160853909,44.92409729599506,2.853843437660397,3.1970655622475364,https://lh3.googleusercontent.com/ci/AC_FhM_wZN5Px-dqwImyGydyV6I9fE3ZN7cQBFL3WeeCVqLYC7I9KpupwQJctexk4v_I2_thkVFor9k=w218-c-h218-rw-v1,https://artsandculture.google.com/asset/naples-pierre-albert-marquet/WgHFtNMA3AQxDw,TEAL,5131
12453.jpg,61.05489857756081,81.06323120949415,113.14952445080381,12.61331116909351,134.17380691860956,113.15204949078361,93.16025587071795,138.9778006901776,145.5320259237438,56.08597657303623,60.49848808563407,64.13788066240471,5.2992409634022914,49.02127321445375,64.14229668954887,61.69866399440041,11.162564420947708,7.401356255170994,"https://lh3.googleusercontent.com/ci/AC_FhM_8F87SUYPYu5Eh5sweivJsqGKk8NmDqZqna82ISov3TgZGYkYLXhXKRY4pcZTvI_RLVkO8X5g=w218-c-h218-fcrop64=1,1d1b0000fc54ffff-rw-v1",https://artsandculture.google.com/asset/the-gower-family-the-children-of-granville-2nd-earl-gower-george-romney/bAF1MDJ3AxFUJQ,BROWN,12453
7176.jpg,36.63710967090312,75.25117835199057,131.97245602222034,12.039916673680667,200.66339112869287,131.97841090817272,94.35767191313863,148.3203013214376,158.80864405353086,35.2619132336991,51.24201746706356,70.80168803343847,5.424476844614906,40.2608013351141,70.79160595708855,58.748764336811284,8.044927885624103,13.953730194321047,"https://lh3.googleusercontent.com/ci/AC_FhM9sa_Kzj4phqEZYcVBsU5sItfNl-Ec8XJrzypdlF-ju9sfUOylzjsE-g2OIVg9_XZ8paM_BKg=w218-c-h218-fcrop64=1,15570000eaa7ffff-rw-v1",https://artsandculture.google.com/asset/dance-of-the-haymakers-music-is-contagious-william-sidney-mount/FgFI5iaav6d0cA,ORANGE,7176
992.jpg,179.73249305614004,188.55750778553994,240.2327245181382,19.571016749431866,68.15491120276072,240.4065735207474,209.0503114215975,146.95402323036782,142.64607356283142,79.26545406567216,72.41601217812389,14.831423794851283,36.40798013566673,78.36189077559078,14.876794030986211,48.07803016758352,23.661717469264776,17.502249520148265,https://lh3.googleusercontent.com/ci/AC_FhM8dqrNWvUogt3c3LM4B5glVUNQMqmAvnb4VMCM6PRfz_CxWjcxkJuSDY67FLdueVNHJCR8viQ=w218-c-h218-rw-v1,https://artsandculture.google.com/asset/between-red-021-lee-seahyun-and-%EC%9D%B4%EC%84%B8%ED%98%84/5gENOTX6CvGggg,WHITE,992
11333.jpg,71.29589260163286,90.22636983418904,110.79258900765929,15.995097214039223,89.96904721824762,110.79955390960357,101.35979715512163,133.65547933675617,142.0899755912802,19.576938635791407,26.38654470490153,26.003577925593756,18.616450068372405,33.27771111912841,25.99469871698267,26.303651800939164,4.228477497942406,6.553097508304623,"https://lh3.googleusercontent.com/ci/AC_FhM-JYZMQR4vFLh0Jxk5noBrX8q9yFii3ek3wqzKE0Mjv6h5UJPjspaV6ENY4GiPfk8ZNOk0MXqQ=w218-c-h218-fcrop64=1,00003377fffff554-rw-v1",https://artsandculture.google.com/asset/juliet-about-to-take-her-sleeping-draught-and-or-mary-smirke-1779%E2%80%931853-british-and-robert-smirke-1752%E2%80%931845-british/1wEDO-9aWhZc1g,BROWN,11333
9928.jpg,34.79671323962629,63.0487122296103,86.68504334651965,17.748064136015486,175.10723003114217,87.02922733776619,71.48849002609208,134.8266139213871,148.16557949667538,38.01651688501485,46.06121304316244,49.07285287717134,13.786483816163983,55.31096708264746,49.01556955173055,48.83765111728283,8.215379005716159,9.025688417198783,"https://lh3.googleusercontent.com/ci/AC_FhM-aMp77TfPkM7_phb24O3hp34LO_uLzoZIihKdCNEzf-ztzL9tqysGU6s6O_ITaWSdBYP7CiVg=w218-c-h218-fcrop64=1,00000000d542ffff-rw-v1",https://artsandculture.google.com/asset/the-baptism-of-the-chamberlain-of-queen-candace-of-ethiopia-balen-hendrik-van-and-brueghel-the-younger-jan/BwEvH168gjvPlQ,BROWN,9928
10458.jpg,50.47329770221362,76.24791684201666,100.5386120696911,18.744381786044947,126.24972645400219,101.17820469657437,87.19874168841007,134.30637151754902,147.44459641444323,25.997075448644974,32.73893382723764,46.45219994376589,9.196302486304203,26.872764046306457,46.080071005466465,36.07114747869713,11.356787714519944,6.156088273044023,"https://lh3.googleusercontent.com/ci/AC_FhM-_qEhIimaUq4MM_xoOLJQNoLyTsVp1wrW9AqdfKh2rphvAEjV-iWsMw821RXgx2LfPpzEE8w=w218-c-h218-fcrop64=1,16ee0000e910ffff-rw-v1",https://artsandculture.google.com/asset/young-ladies-on-the-bank-of-the-seine-%E2%80%93-fragment-of-a-painting-woman-with-flowers-on-her-hat-gustave-courbet/VAEf1nIWh5KGRA,BROWN,10458
