constituentid,name,image_count
10362,"Leicester Galleries",20
1444,"Walt Kuhn",20
1985,"Andrew Wyeth",20
1870,"Georges Seurat",20
2436,"François-Nicolas Chifflart",20
2285,"Anne Truitt",20
4020,"George Edwards",20
3881,"Stuart Davis",20
3235,"Cy Twombly",20
5036,"Robert Morris",20
882,"Somerville & Simpson Ltd.",20
10115,"Ed Hamilton",20
253,"Mr. and Mrs. Robert B. Eichholz",20
2746,"Walter Shirlaw",20
50126,"Robert Dressen",20
710,"Mr. and Mrs. William Dailey",20
2709,"Malcolm Rice",20
918,"Ms. Ellin Mitchell",20
1389,"Eric G. Carlson",20
50176,"Patrick Foy",20
6498,"Mabel Dwight",20
1610,"Bob P. Haboldt & Co.",20
53344,"Alfred Ruckenbrod",20
6758,"Gerhard Richter",20
1656,"Lutz Riester",20
6845,"Romare Bearden",20
6858,"Robert Smithson",20
6939,"Sylvia Plimack Mangold",20
9732,"Matthew Marks Gallery",20
10013,"J.S. Maas & Co. Ltd.",20
10141,"Stephen Antonakos",20
25782,"James Baughman",20
35023,"Simca Print Artists",20
20175,"Richard and Judith Smooke",20
17834,"Lutz Reister",20
21079,"Floriano Vecchi",20
23930,"Danny Lyon",20
24721,"Weegee",20
26779,"Galerie Nierendorf",20
28765,"Georg Andreas Wolfgang the Elder",20
29039,"Dr. Miloslava Rupesová",20
30904,"Rachel Stevenson",20
31703,"Gail and Benjamin Jacobs Fund",20
31382,"Armstrong Fine Art",20
3655,"Alfred Cadart",20
34277,"Hale Woodruff",20
34749,"William Wylie",20
31023,"Scheinbaum and Russek, Ltd.",20
36240,"Murray Guy",20
40743,"Debora Hunter",20
40785,"Ida Applebroog",20
48714,"Rau & Son",20
50770,"Printworks Gallery",20
22329,"Michael Sachs",20
41361,"Barbara Crane",20
53235,"Webber Gallery",20
53510,"Bruce Wrighton",20
9579,"Charles Fairfax Murray",19
21910,"Sale, London",19
8687,"Charles J. Wertheimer",19
23239,"Count Leopoldo Cicognara",19
2838,"German 19th Century",19
8418,"Boussod et Valadon",19
8309,"Lombard 15th Century",19
6062,"Hans Holbein the Elder",19
34801,"Brentano-Birckenstock Collection",19
4151,"Wanda Gág",19
2150,"Wilhelm Lehmbruck",19
2995,"Bernhard Schreuder",19
10171,"John Barnard",19
3090,"John Raphael Smith",19
3336,"William Walcot",19
2824,"British 17th Century",19
4591,"Carlo Lasinio",19
8013,"Albert Rudin",19
8138,"John R. Towers",19
7558,"Jacob Gielens",19
7614,"John Hall",19
7259,"Ruth Bialostosky",19
8057,"Alvin Shiren",19
7241,"Eugene Bartz",19
7569,"Meyer Goldbaum",19
7321,"Frank Budash",19
7984,"Michael Riccitelli",19
8132,"Henry Tomaszewski",19
7805,"Matthew Mangiacotti",19
1798,"Nicolas Poussin",19
2583,"Johan Barthold Jongkind",19
52717,"Robert Hartshorne",19
1375,"Marsden Hartley",19
475,"Mrs. Roger H. Plowden",19
216,"William Robertson Coe",19
662,"Babcock Galleries",19
811,"Pierre Matisse Gallery",19
3566,"Paolo Boni",19
4346,"John Hill",19
5933,"Teodoro Filippo di Liagno",19
1931,"James Jacques Joseph Tissot",19
886,"Galerie St. Etienne",19
646,"Acquavella Contemporary Art, Inc.",19
14939,"Robert de la Rocha",19
821,"Middendorf Gallery",19
1069,"Robert Miller Gallery, Inc.",19
111,"The Very Reverend and Mrs. Charles U. Harris",19
6565,"John Clerk, of Eldin",19
6725,"Provoslav Sovák",19
9726,"William Cavendish, 2nd Duke of Devonshire",19
10155,"John Baldessari",19
9091,"David K.E. Bruce",19
13362,"David Octavius Hill",19
13363,"Robert Adamson",19
16473,"Charles Marville",19
20067,"Chris Burden",19
19097,"Anish Kapoor",19
23761,"Angelo Raphael Pinto",19
23922,"Mariano Fortuny Marsal",19
21842,"Ralph Steiner",19
27527,"Gertrude Käsebier",19
25362,"Ann Hamilton",19
31306,"The Horvitz Collection",19
32859,"Didier Aaron",19
35578,"Thomas A. Cox",19
34221,"Elizabeth Catlett",19
34140,"John Wilson",19
33565,"Carl Hoeckner",19
37060,"Dr. Edward Peart",19
37368,"Dewayne and Faith Perry",19
40668,"Larry Sultan",19
37632,"Thomas Joshua Cooper",19
19449,"Mr. Juan Hamilton",19
50037,"Mishka Henner",19
50713,"Inbal Abergil",19
3908,"Vivant Denon",18
21980,"Sale, Amsterdam",18
8397,"Ehrich Galleries",18
413,"Federico Barocci",18
279,"Mrs. Peter H.B. Frelinghuysen",18
4588,"Nicolas de Larmessin IV",18
29863,"Richard H. Zinser",18
10336,"John Postle Heseltine",18
5586,"John Linnell",18
3136,"Thomas Stothard",18
2443,"Howard Cook",18
4249,"Valentine Green",18
4298,"Martin Hardie",18
9186,"Robert Carlen",18
12531,"André-Jean Hachette",18
2627,"Jan Lievens",18
2753,"Virgil Solis",18
3244,"Albert Urban",18
2413,"Willem Buytewech",18
29164,"Dr. Carlos Gaa",18
3371,"Georg Wechter I",18
47360,"Henry Harper Benedict",18
2795,"Maarten de Vos",18
2688,"Polidoro da Caravaggio",18
4188,"Giorgio Ghisi",18
7513,"Mary Fitzgerald",18
7379,"Hugh Clarke",18
8193,"Howard Weld",18
7879,"Alfonso Moreno",18
7256,"Gerald Bernhardt",18
7620,"Marius Hansen",18
7536,"Harriette Gale",18
7249,"Julius Bellamy",18
7893,"Victor F. Muollo",18
7661,"B. Holst-Grubbe",18
7366,"Charles Charon",18
7908,"Carl O'Bergh",18
8101,"George Stonehill",18
2459,"George Cruikshank",18
5236,"Charles A. Platt",18
3297,"Roger Vieillard",18
26943,"Dr. Erwin Rosenthal",18
573,"Agnes Gordon Fuller Tack",18
5272,"Johann Gottlieb Prestel",18
1846,"Théodore Rousseau",18
6300,"William Rogers",18
27788,"Robert de Baudous",18
13822,"Samuel Woodburn",18
569,"Frederick Sturges, Jr.",18
2233,"Giovanni Maria Pomedelli",18
2050,"Giovanni Candida",18
3092,"Moishe Smith",18
1043,"Harry Waldron Havemeyer",18
2383,"Herbert Lawrence Block",18
4438,"Antoine Jacquard",18
1707,"Matta",18
252,"Mrs. Michael H. Egnal",18
397,"Miss Louise Alida Livingston",18
376,"Mr. and Mrs. Harry Le Bovit",18
280,"French Navy",18
791,"Mathias Komor",18
1351,"Arshile Gorky",18
5454,"Gerrit van Schagen",18
4522,"Charles Knowles",18
351,"Mr. and Mrs. Louis Joughin",18
14950,"Jacob Samuel",18
4331,"Michael Heizer",18
5235,"Marco Alvise Pitteri",18
2068,"Bruce Conner",18
5920,"John Grillo",18
824,"Morton Morris & Company Ltd.",18
5627,"Johann Adam Klein",18
5801,"Ed Moses",18
5809,"Henry C. Pearson",18
960,"Mrs. John H. Steiner",18
23494,"Deli Sacilotto",18
3106,"Emiliano Sorini",18
17495,"Eva S. Dencker",18
966,"Mr. Bert Freidus",18
36633,"Atelier Desjobert",18
1996,"Mr. Lloyd Rigler",18
9988,"Gaetano Zompini",18
25774,"James Hirahara",18
14025,"Douglas Lewis",18
14139,"Robin Halwas Limited",18
15090,"Johnny Van Haeften Ltd.",18
15463,"Takeshi Shimada",18
13519,"Carleton E. Watkins",18
13369,"Roger Fenton",18
18520,"Alexandre Charpentier",18
19099,"Tim Rollins + K.O.S.",18
12277,"Mr. Stephen Mazoh",18
23452,"Domenico Falcini",18
24050,"Regnato Stemple",18
24051,"Baldwin M. Baldwin",18
25003,"Lila Oliver Asher",18
14878,"Felix Harlan",18
14879,"Carol Weaver",18
28749,"Richard Spear",18
29735,"Mrs. Janet Bruce",18
29761,"Jolán Gross-Bettelheim",18
30083,"Marion Houstoun",18
31152,"Joachim Franz Beich",18
34427,"Estate of Charles H. Morgan",18
25133,"Vik Muniz",18
5832,"Hitoshi Takatsuki",18
35280,"Dr. Alan Pocinki",18
35680,"Joseph Lemercier",18
37250,"Otto Rodewald",18
48072,"Kim Deitch",18
48098,"Justin Green",18
13101,"Mr. and Mrs. Joel Ehrenkranz",18
39264,"Enoch Wood Perry, Jr.",18
51295,"Raphaël Collin",18
47114,"Eliezer and Miriam Benbassat",18
50740,"Nancy Norman Lassalle",18
40393,"David Robbins",18
50779,"Lococo Fine Art Publisher",18
51064,"Charles van Horne",18
51293,"Jurjens Fine Art",18
51832,"William Jaffe",18
52164,"Laura Young",18
50776,"Jeanne Moutoussamy-Ashe",18
52558,"Andrew Borowiec",18
8511,"Carl W. Hamilton",17
8745,"Robert Langton Douglas",17
2032,"Giovanni Bologna",17
1827,"Sebastiano Ricci",17
49423,"Italian 15th/16th Century",17
2902,"Andrea Zoan",17
20903,"Private Collection, England",17
2271,"Severo da Ravenna",17
2134,"Jean-Antoine Houdon",17
9397,"Baron Frédéric Spitzer",17
2004,"Antico",17
2162,"Lysippus Junior",17
2457,"Charles Monnet",17
4742,"Joseph de Longueil",17
906,"Julius H. Weitzner",17
51446,"Arthur Friederich Theodor Bohnenberger",17
4910,"Master MZ",17
12801,"Fürstlich zu Waldburg-Wolfegg'sche Kupferstichkabinett",17
5428,"Herman Saftleven",17
2903,"Andrea Andreani",17
2695,"Francesco Primaticcio",17
5463,"Luigi Schiavonetti",17
3705,"Federico Castellón",17
2455,"Earl Stetson Crawford",17
4139,"Isac Friedlander",17
4519,"Laura Knight",17
10631,"Dutch 16th Century",17
3138,"William Strang",17
3173,"Charles William Taylor",17
3409,"John W. Winkler",17
2416,"Luca Cambiaso",17
2837,"German 18th Century",17
7917,"Adolph Opstad",17
8060,"Natalie Simon",17
7890,"Elbert S. Mowery",17
8149,"Alois E. Ulrich",17
8056,"Howard H. Sherman",17
8235,"A. Zimet",17
7541,"Sara Garfinkel",17
7248,"Doris Beer",17
7804,"Hans Mangelsdorf",17
8061,"Sebastian Simonet",17
7194,"Harry G. Aberdeen",17
7327,"Angelo Bulone",17
7484,"Sarkis Erganian",17
7605,"Alvin M. Gully",17
8109,"John Sullivan",17
7818,"Arthur Mathews",17
7304,"Dayton Brown",17
7845,"Flora Merchant",17
2674,"Jules Pascin",17
17779,"Paul Haasen",17
31525,"Heinrich Stinnes",17
5304,"André Racz",17
3375,"Reynold Weidenaar",17
6226,"George Glover",17
26491,"Francis A. Drey",17
24136,"Munich Central Collecting Point",17
2118,"Alberto Giacometti",17
2641,"Carlo Maratta",17
2194,"Pseudo Melioli",17
2253,"Giancristoforo Romano",17
12675,"Aubert",17
1474,"Rico Lebrun",17
3195,"Valerie Thornton",17
4819,"Marino Marini",17
3643,"Louis Bunce",17
4798,"Robert Mallary",17
3215,"Joyce Wahl Treiman",17
2745,"Charles Sheeler",17
26928,"Galerie Louis Carré",17
3602,"Pierre Brebiette",17
2881,"Cherubino Alberti",17
3806,"Dirck Volckertz Coornhert",17
724,"Spencer Drummond Limited",17
50100,"Andrew Vlady",17
3033,"William Sharp",17
41,"John Hay Whitney",17
5904,"Herbert Bayer",17
5911,"Paul Henry Brach",17
5793,"Maryan",17
5818,"Maurice Sánchez",17
1067,"Daniel Katz",17
6494,"Currier and Ives",17
6552,"Alfred Leslie",17
53350,"Gustav Kiepenheuer",17
6664,"Joel Shapiro",17
1665,"Richard York Gallery",17
6759,"August Sander",17
83,"Mr. and Mrs. Donald G. Fisher",17
19115,"Roger Campbell",17
21656,"Estate of Rachel Lambert Mellon",17
13490,"Diane Arbus",17
18098,"Ludwig Richter",17
26061,"Edward Landon",17
27337,"Antoine Cahen",17
10093,"Dennis Oppenheim",17
30277,"Merritt P. Dyke",17
17293,"Italian 16th/17th Century",17
33849,"Alexander Oja",17
18605,"Jill Quasha",17
50442,"Galerie Glöckner",17
48292,"Rick Griffin",17
47048,"Rip Off Press",17
48109,"Jim Osborne",17
48113,"Rory Hayes",17
39418,"Andrew Fisher Bunner",17
43605,"Mrs. Kate Bunner",17
42777,"Margaret Coughlan",17
34994,"Mr. Donald Rosenfeld",17
42964,"Mrs. Armistead Peter III",17
29045,"Ellen Auerbach",17
29046,"Grete Stern",17
47679,"ringl + pit",17
46774,"Bill Wheelock",17
45048,"Howard Greenberg",17
6739,"Mimmo Paladino",17
50652,"Leslie J. Schreyer",17
52095,"Kris Graves",17
52144,"Nicole Eisenman",17
53330,"Galerie Gmurzynska",17
53756,"Chloe Sherman",17
29456,"Prince Johann II of Liechtenstein",16
1983,"Joseph Wright",16
4197,"Giovanni Antonio da Brescia",16
8315,"Mantuan 16th Century",16
2283,"Jacopo Nizzola da Trezzo",16
10478,"Yamanaka & Co.",16
3172,"Nicolas Antoine Taunay",16
35391,"Rudolf Gutmann",16
5694,"Mary Ann Flaxman",16
3697,"Eugène Carrière",16
3722,"Samuel Chamberlain",16
3983,"Karel Dujardin",16
3960,"Pierre Drevet",16
4572,"Armin Landeck",16
4387,"Jacobus Houbraken",16
1426,"Jacob Jordaens",16
4570,"Paul Landacre",16
4762,"Ernest Stephen Lumsden",16
2809,"Peter De Wint",16
2761,"Pieter Stevens",16
3271,"Adriaen van de Velde",16
1969,"Julian Alden Weir",16
2787,"John Varley",16
7242,"Edward Bashaw",16
7343,"Douglas Campbell",16
7752,"Fanchon Larzelere",16
8214,"Carmel Wilson",16
7393,"George Constantine",16
7656,"William Hoffman",16
7445,"Byron Dingman",16
7775,"Sidney Liswood",16
7481,"Hedwig Emanuel",16
8086,"William Spiecker",16
8082,"G.A. Spangenberg",16
7228,"Frank C. Barks",16
7464,"Raoul Du Bois",16
7261,"Laura Bilodeau",16
8091,"Alice Stearns",16
7371,"Florence Choate",16
7551,"Anne Ger",16
7848,"Harold Merriam",16
7698,"Karl Joubert",16
8238,"Nicholas Zupa",16
7361,"Emile Cero",16
8157,"Maude Valle",16
7759,"Joseph Leboit",16
7525,"Eva Fox",16
3795,"François Collignon",16
3392,"Francis Wheatley",16
3086,"Charles William Smith",16
10359,"Atelier Degas",16
28663,"Basan",16
6495,"Napoleon Sarony",16
2879,"Grace Albee",16
1408,"Daniel Huntington",16
3778,"Nicolas Cochin",16
21377,"Art market, London",16
6176,"Robert Boissard",16
2010,"Austrian 16th Century",16
5160,"Harold Persico Paris",16
2027,"Bertoldo di Giovanni",16
2346,"Harold Altman",16
1183,"Donato Creti",16
1191,"Jasper Francis Cropsey",16
1957,"Maurice de Vlaminck",16
4584,"Pierre Laprade",16
3049,"Helen Siegl",16
771,"Heim Gallery Ltd.",16
49001,"Original Editions",16
2299,"William Zorach",16
2269,"George Segal",16
1214,"Gene Davis",16
5050,"Herman Jansz Muller",16
629,"Angus Whyte",16
2515,"Gaetano Gandolfi",16
107,"Mr. Peter W. Josten",16
504,"Roosevelt Print Fund",16
5789,"Jack Lemon",16
5141,"Fayga Ostrower",16
50099,"Jeff Sanders",16
5641,"Joe Goode",16
3476,"Anni Albers",16
5658,"Wallace Berman",16
5779,"Karl Kasten",16
4571,"Jacob Landau",16
28271,"Crispin van den Broeck",16
1595,"Hauswedell & Nolte",16
1609,"Mr. Clive S. Gray",16
1648,"Otto Naumann",16
10501,"Covent Garden Gallery",16
10894,"Chatsworth House Trust",16
25785,"Mark Schultz",16
13395,"Julia Margaret Cameron",16
18765,"Mr. Barney A. Ebsworth",16
19098,"Janis Provisor",16
23163,"Roy DeCarava",16
23407,"Melissa J. Stegeman",16
24126,"John Deeks",16
24127,"Kathleen Caraccio",16
24128,"Catherine Carine",16
24129,"John Berg",16
24130,"Richard Kenerson",16
24131,"Burton Richard Wolf",16
24132,"Eugene Stuttman",16
15056,"Harmon-Meek Gallery",16
24052,"Elizabeth Lorentz",16
24671,"Leon Levinstein",16
25873,"Helen West Heller",16
28729,"Frederick Baker Inc.",16
26724,"Herbert Adams",16
29149,"Art New Media S.A.",16
30548,"Sharon Lockhart",16
31074,"Mariana Cook",16
31471,"Iva Mojzisová",16
32993,"Harold and Janet Tague",16
32994,"Jon D. Smith, Jr.",16
32995,"Riley Temple",16
33955,"Eric Korner",16
33102,"Gustav Luabe",16
34022,"Joseph Solman",16
33446,"Mark Freeman",16
33394,"Rachael Robinson Elmer",16
53466,"Panpresse, Berlin",16
36003,"Chris Ofili",16
36264,"Myra Greene",16
36663,"Yossi Milo Gallery",16
38120,"Robert B. Loper",16
38630,"Jean and Clinton Wright Fund",16
38428,"Reclam Verlag",16
48121,"Bill Griffith",16
48143,"Jay Lynch",16
48136,"Apex Novelties",16
43865,"Ms. Kyle Roberts",16
40964,"Clarence Williams",16
41358,"Alec Soth",16
46052,"Bud and Fran Moreland Johns",16
51203,"U.S. Mint",16
39145,"Seth Wells Cheney",16
43658,"Lorillard, A Division of Loews Theatres, Inc.",16
17755,"D. Appleton and Company",16
42561,"Roger Brown",16
46216,"David B. Long",16
4843,"Jean-Baptiste Massé",16
50330,"Chris Killip",16
50919,"Jenkins-Johnson Gallery",16
50950,"Stephen Bulger Gallery",16
52222,"Janus Press",16
44747,"Yancey Richardson Gallery",16
52148,"Hales Gallery",16
52931,"Virginia Mars Fund",16
53528,"Michael Menchaca",16
53787,"Julia Samuels",16
8512,"Professor Elia Volpi",15
9394,"Henry Goldman",15
936,"Giovanni Bellini",15
8379,"Sedelmeyer Gallery",15
10853,"The British Museum",15
606,"Mrs. Felix M. Warburg",15
1797,"Paulus Potter",15
975,"Louis-Léopold Boilly",15
2483,"Louis Gabriel Moreau the Elder",15
8572,"Ralph Harman and Mary Batterman Booth",15
3122,"John Gabriel Stedman",15
10693,"Alexandre-Pierre-François Robert-Dumesnil",15
2484,"Cornelis Dusart",15
54095,"Lucien Henraux",15
17468,"Marcel Guérin",15
4309,"Ernest Haskell",15
4345,"Eugene Higgins",15
1404,"Edward Hopper",15
20221,"Buchholz Gallery, New York",15
4462,"Pieter de Jode II",15
7930,"Alfred Parys",15
7820,"Frank Maurer",15
7644,"William Herbert",15
7983,"George E. Rhone",15
7788,"Joseph Lubrano",15
7618,"Esther Hansen",15
7886,"Stella Mosher",15
7664,"Tabea Hosier",15
7377,"Robert Clark",15
7732,"John Koehl",15
7951,"Louis Plogsted",15
7340,"Ludmilla Calderon",15
7789,"William Ludwig",15
7847,"William Merklin",15
4439,"Charles Émile Jacque",15
26020,"Karl Buchholz",15
4728,"William Home Lizars",15
4778,"Donald Shaw MacLaughlan",15
2657,"Jerome Myers",15
3070,"John Skippe",15
2790,"Willem van de Velde the Younger",15
1374,"Henri-Joseph Harpignies",15
6294,"Crispyn van den Queboorn",15
3599,"Frank Brangwyn",15
6182,"Thomas Cecil",15
2230,"Domenico Poggini",15
3300,"Romas Viesulas",15
285,"Fuller Foundation, Inc.",15
217,"Coe Foundation",15
2707,"Marco Ricci",15
4947,"James McGarrell",15
137,"Mrs. George Matthew Adams",15
2390,"Lee Bontecou",15
4989,"Jean Mignon",15
3382,"Charles Arthur Wells, Jr.",15
50958,"Joe Funk",15
2891,"Glen Alps",15
4950,"John D. McLaughlin",15
3294,"Esteban Vicente",15
990,"Mr. Frank R. Eyerly",15
329,"Heller Foundation",15
10027,"Sir Bruce Stirling Ingram",15
19996,"Roger Lacourière",15
429,"Vincent Melzac",15
1776,"I. Rice Pereira",15
7171,"Dr. and Mrs. Samuel Bogdonoff",15
704,"Paula Cooper Gallery",15
3394,"Charles White",15
438,"Ralph T. Millet, Jr.",15
1100,"Dr. and Mrs. Ronald R. Lubritz Fund",15
550,"Smithsonian Institution, Resident Associate Program",15
153,"Atlas Foundation",15
1106,"John William Casilear",15
386,"Karl Leubsdorf",15
3401,"Ulfert Wilke",15
25993,"Blair Litho",15
522,"Mrs. Stanley J. Sarnoff",15
5915,"Robert Cremean",15
5613,"Johann Christoph Dietzsch",15
5781,"James Kelly",15
5797,"Eleanore Mikus",15
5833,"Walasse Ting",15
7168,"Mr. Leonard A. Lauder",15
1535,"Dr. and Mrs. Webster Gelman",15
1539,"Dr. Thomas A. Mathews",15
6354,"Giovanni Francesco Costa",15
6505,"Georges Schreiber",15
1562,"Ms. Elizabeth Gottschalk Krakauer",15
20172,"Diana Kingsley",15
6743,"Robert Riggs",15
3433,"Paul Wunderlich",15
1657,"Nissman, Abromson & Co.",15
9771,"Blythe Bohnen",15
9791,"Jürgen Partenheimer",15
13174,"Leo Castelli Gallery",15
13702,"Gay S. Block",15
6866,"Elaine de Kooning",15
10095,"David McKee Gallery",15
50125,"Limited Editions Club",15
17573,"Mark Callen",15
13414,"Édouard-Denis Baldus",15
18601,"Judith Rothschild",15
19105,"Joan Nelson",15
20125,"The Harold and Esther Edgerton Family Foundation",15
21925,"Paul Edouard Crébassa",15
53263,"Joseph Luyber Galleries, New York",15
2895,"Jirí Anderle",15
23655,"Alan Shestack",15
24233,"Dr. William Tsiaras",15
24650,"Frank Gohlke",15
24653,"John Gutmann",15
24698,"Daidō Moriyama",15
24920,"Monroe Warshaw",15
27060,"Erika Greenberg-Schneider",15
25186,"Ms. Halley k. Harrisburg and Mr. Michael Rosenfeld",15
25832,"Blanche Grambs",15
26321,"Brad Brown",15
26983,"Charles Nes Photography",15
24607,"Jaromír Funke",15
29501,"Mrs. Elizabeth Klee",15
30271,"Bill Homer",15
30322,"The Estate of Charlotte Loeb",15
30520,"Fred Wilson",15
30988,"Artcurial",15
30776,"Ms. Anna Farova",15
32736,"André Jammes",15
32739,"Edward Shein",15
32857,"Joseph P. DiGangi",15
34400,"Robert Caney",15
34568,"Finchden Manor",15
34417,"Francesco Cangiullo",15
33464,"Hugo Gellert",15
38124,"Randi and Bob Fisher Fund",15
34844,"John G. Aronovici",15
34845,"Carol L. Johnson",15
37094,"Keith Peoples",15
37748,"Pandora Old Masters, Inc.",15
38316,"E. & H.T. Anthony",15
38632,"Frank Lobdell Trust",15
43536,"Raymond W. Merritt",15
49633,"Graphis",15
43555,"Mr. Raymond W. Merritt",15
45720,"Christina Ramberg",15
50885,"Brady's National Photographic Portrait Galleries",15
23040,"Nicholas Martin",15
52165,"Dr. Michael Louis Schiffman",15
34336,"David A. Brown",15
53304,"Lucile Morris",15
52257,"Cara Romero",15
51946,"Dennis Scholl",15
54198,"Newton Paul",15
1488,"Filippino Lippi",14
1454,"Nicolas Lancret",14
4198,"Giovanni Pietro Birago",14
8402,"Louisine Waldron Havemeyer",14
1850,"Jacob van Ruisdael",14
2006,"Antonio Abondio",14
10472,"Marsden J. Perry",14
18354,"Frank Partridge and Sons, Ltd.",14
4719,"Charles Louis Lingée",14
38597,"George M. La Monte",14
47708,"Chicago Society of Etchers",14
5046,"Hans Alexander Mueller",14
3609,"Andreas Bretschneider III",14
3633,"Abraham de Bruyn",14
7575,"Minnetta Good",14
4550,"Otto August Kühler",14
4552,"Lawrence Kupferman",14
2636,"David Low",14
2873,"Agostino dei Musi",14
3144,"Dwight Case Sturges",14
1918,"Rufino Tamayo",14
3403,"Johann Georg Wille",14
4472,"Solomon Borisovich Judovin",14
28655,"Charles Armand Signol",14
7325,"Ruth Buker",14
7557,"Pearl Gibbo",14
7420,"Millia Davenport",14
8029,"Irene Schaefer",14
8206,"John Wilkes",14
7816,"Georgine E. Mason",14
7709,"Carl Keksi",14
7630,"Florence Hastings",14
7515,"Daniel Fletcher",14
7744,"Lucille Lacoursiere",14
7745,"Eugene La Foret",14
8128,"John Thorsen",14
8111,"John Swientochowski",14
7666,"Henrietta S. Hukill",14
7475,"Frank Eiseman",14
7427,"Pearl Davis",14
7490,"George Fairbanks",14
7418,"Edward A. Darby",14
7797,"Leslie Macklem",14
7290,"Dorothy Brennan",14
7454,"Walter Doran",14
8237,"Anthony Zuccarello",14
7297,"S. Brodsky",14
7950,"Palmyra Pimentel",14
2393,"Mortimer Borne",14
1391,"Robert Henri",14
4110,"Peter Flötner",14
36460,"Reverend J. Burleigh James",14
3850,"Cornelis van Dalen I",14
5397,"Ker Xavier Roussel",14
47412,"Prince Franz I of Liechtenstein",14
5335,"Alfred Rethel",14
4956,"Hans Meid",14
8352,"Flemish 17th century",14
10471,"Parish-Watson Gallery",14
1479,"Leonardo da Vinci",14
5043,"Seong Moy",14
1299,"Erastus Salisbury Field",14
11075,"Eleanore Elkins Widener Rice",14
8348,"Flemish 16th Century",14
4017,"Leonard Edmondson",14
52899,"Northern Italian 18th Century",14
52900,"Northern Italian 19th Century",14
54331,"Enrico Conti",14
1722,"Amedeo Modigliani",14
4488,"Harold Emerson Keeler",14
3245,"Reva Urban",14
1446,"John La Farge",14
3935,"Otto Dix",14
23431,"Marie Harriman Gallery",14
4614,"Jean Leclerc",14
5018,"Giorgio Morandi",14
5373,"Arnold Rönnebeck",14
2262,"Augustus Saint-Gaudens",14
50214,"Octavio Pereira",14
14925,"Lloyd Baggs",14
684,"Mrs. Ruth Bromberg",14
50277,"Johannes Lublink II",14
893,"Thackrey & Robertson",14
1038,"Thomas Jefferson Coolidge, IV",14
2760,"Joseph Stella",14
5017,"Jay Moon",14
50136,"Gary Reams",14
23282,"Robbin Geiger",14
20074,"Timothy Isham",14
5919,"Leon Golub",14
1095,"John Mitchell Fine Paintings",14
658,"Ms. Alexis Ford Audette",14
659,"Ms. Jessie Nordin Audette",14
5620,"Friedrich Salathé",14
1020,"Kate de Rothschild",14
6061,"Peter Moran",14
17022,"Mari Andrews",14
1524,"Mr. John R. Gaines",14
34856,"Johan Willem Frederiks",14
6609,"Ercole Bazicaluva",14
23318,"Tom Pruitt",14
6686,"Georg Baselitz",14
1142,"Mr. and Mrs. R. E. Lewis",14
6723,"Johann Esaias Nilson",14
1628,"Private Collector c/o Didier Aaron, Inc.",14
25769,"Andrew Rubin",14
6784,"Daniel Vierge",14
6826,"Franz Innocenz Josef Kobell",14
12389,"Mr. Philip Benedict",14
6760,"Kurt Schwitters",14
25706,"Kyle Militzer",14
17827,"Paul Sérusier",14
17842,"Max Yavno",14
1840,"Ms. Kathleen Ewing",14
20416,"Carlo Antonio Buffagnotti",14
3121,"Andrew Stasik",14
23732,"Karl und Faber",14
20560,"Laurence Miller Gallery, Inc.",14
25698,"Ralph Haugwitz Kunsthandel",14
21844,"Susan Teller Gallery",14
25858,"Elizabeth Olds",14
24500,"Mr. Francis M. Naumann",14
27871,"Steven E. and Phyllis Gross",14
27870,"Mr. Lawrence D. Hite",14
24355,"David Maxwell",14
33073,"Barbara Fendrick",14
34208,"Max Wigram Gallery",14
36228,"Atelier 17",14
33488,"Harry Gottlieb",14
33393,"Stephen Ellis",14
33848,"Kevin B. O'Callahan",14
33983,"Bernarda Bryson",14
29952,"Antiquariaat E.H. Ariëns Kappers",14
35262,"Burnet Editions Master Printers",14
12388,"Nikolai Gogol",14
53417,"Felix Gaber",14
37067,"Maarten van Cleef",14
37252,"Jimmy and Jessica Younger, Houston",14
36263,"Catherine Edelman Gallery",14
47036,"Kitchen Sink Enterprises",14
47956,"Gilbert Shelton",14
47971,"Last Gasp Eco Funnies",14
46344,"George Elgar Hicks",14
47751,"Art Union of London",14
49841,"Thomas Campbell",14
40745,"Chan Chao",14
47906,"Doremus and Co.",14
41280,"Arthur Ellis",14
42800,"Debra Weingarten Jacobs",14
32814,"Anna Hyatt Huntington",14
43614,"Marchal E. Landgren",14
47766,"William Masi",14
47767,"Toby Michel",14
47768,"Alvin Doyle Moore",14
48758,"Woldemar Rau",14
49971,"André Devambez",14
45236,"Gladstone Gallery",14
52462,"Alice Austen",14
54206,"Phillip Leonian",14
26202,"Robert Henry and Evelyn Holford Benson",13
9568,"Pierre Crozat the Younger",13
1778,"Pietro Perugino",13
1497,"Bernardino Luini",13
25267,"Robert Stayner Holford",13
9727,"Thomas Howard, 2nd earl of Arundel",13
8906,"Leo Nardus",13
1356,"El Greco",13
1405,"John Hoppner",13
2110,"Annibale Fontana",13
5015,"Benedetto Montagna",13
5099,"Nicoletto da Modena",13
22371,"Henry Studdy Theobald",13
5452,"William Say",13
470,"Duncan Phillips",13
1917,"Augustus Vincent Tack",13
8299,"Venetian 15th Century",13
6951,"Deruta 16th Century",13
3776,"Charles-Nicolas Cochin I",13
2977,"Pierre-François Basan",13
11136,"Staatliche Museen zu Berlin",13
38782,"Richard von Passavant-Gontard",13
