constituentid,name,image_count
2655,"James McBey",314
2368,"Stefano Della Bella",314
1014,"Helena Gunnarsson",314
1935,"Henri de Toulouse-Lautrec",313
979,"Pierre Bonnard",312
1436,"Ernst Ludwig Kirchner",311
970,"William Blake",308
22433,"Ilse Bing",306
47746,"Professor Thomas Vogler",303
303,"Lucien Goldschmidt, Inc.",302
37005,"Florian Carr Fund",301
8310,"Italian 16th Century",300
5058,"Edvard Munch",297
2947,"Milton Avery",296
1783,"Pablo Picasso",293
10787,"Aldo Crommelynck",292
40405,"Nancy Andrews",292
38355,"Claude Schaefer",289
109,"Mr. and Mrs. Jacob Kainen",289
40310,"Mike Mandel",286
24254,"Mr. Vincent J. Buonanno",283
110,"Mr. Arthur E. Vershbow",282
12458,"Mr. and Mrs. Mark Borghi",282
6716,"Alex Katz",280
1616,"Associated American Artists",278
2572,"Wenceslaus Hollar",272
37190,"Estate of Nathan Lerner",270
1117,"Marc Chagall",267
14928,"James Webb",265
422,"Mark Jacob Millard",265
9784,"Hôtel Drouot",264
1147,"Gerhard E. Pinkus and Marianne Pinkus Trustees of the Community Trust created under the Gerhard E. Pinkus and Marianne Pinkus inter, vivos Trust Agreement, dated 10/28/97",264
37751,"The Joy of Giving Something, Inc.",262
47445,"The Saul Steinberg Foundation",260
1966,"Andy Warhol",258
432,"Dr. Dieter Erich Meyer",258
6608,"Walker Evans",257
34355,"The Print Research Foundation",257
38644,"Deborah Luster",257
2408,"Félix-Hilaire Buhot",255
31177,"Eileen and Michael Cohen",255
46039,"Mr. and Mrs. Annie and Paul Mahon",255
2494,"Allart van Everdingen",254
17714,"Mr. Rufus Zogbaum",254
6509,"Vito Acconci",253
17722,"Donald Stone",253
12883,"The Andy Warhol Foundation for the Visual Arts, Inc.",253
17021,"Daria Sywulak",252
38216,"Ingrid Rose",249
2592,"Ellsworth Kelly",248
6159,"Simon van de Passe",247
18165,"William B. O'Neal Fund",246
37984,"Jay Finkel",246
1186,"Avalon Fund",245
1290,"Ms. Andrea Woodner",245
15254,"Sarah Greenough",244
2659,"Robert Nanteuil",243
37,"Mr. and Mrs. Robert H. Smith",243
2500,"Ruth Fine",242
2367,"Sebald Beham",236
8537,"Count Alessandro Contini Bonacossi",234
125,"Mr. and Mrs. Seymour Schwartz",234
508,"Rosenwald Print Purchase Fund",232
4126,"Sam Francis",230
3097,"Frederick Sommer",230
1829,"Ms. Dian Woodner",229
22917,"Roy Lichtenstein Foundation",227
31613,"Robert Menschel and the Vital Projects Fund",227
1034,"Mrs. Ansel Adams",225
16955,"Jörg Maass",225
37590,"Il Bulino Antiche Stampe di Matteo Crespi",224
8362,"Chinese Qing Dynasty",223
46033,"Mr. Thomas Harris",223
35419,"Pierre Cremieux",222
803,"R. E. Lewis",221
9673,"N.G. Stogdon",221
44915,"Steven Kasher Gallery",220
1219,"Edgar Degas",219
19205,"Estate of André Kertesz",218
448,"Mr. Frederick Mulder",216
6941,"Richard Tuttle",214
46560,"David H. McDonnell",214
5792,"Serge Lozingot",213
26449,"Case Hudson",213
2014,"Leonard Baskin",212
37724,"Robert and Kerstin Adams",212
666,"Galerie de Bayser",209
31200,"James Welling",209
